series,episode,baker,baker_age,baker_occupation,hometown,signature_bake,show_stopper,technical,result
7,4,Kate,NA,NA,NA,Christmas Dinner Compromise,Hot Cross Bunny Churros,7,OUT
7,4,Rav,NA,NA,NA,Thai Tofu Panang Yorkshires,Three Dip Matcha Pistachio Churros,9,IN
7,4,Selasi,NA,NA,NA,Perfect Sunday Roast Accompaniment,Lemon and Anise Churros,8,IN
7,4,Tom,NA,NA,NA,West Yorkshire Fusion Puddings,Fennel Churros Snake In The Grass,5,IN
7,4,Val,NA,NA,NA,Mum's Chilli Yorkshire Puddings,Orange Chocolate Churros,6,IN
7,5,Andrew,NA,NA,NA,Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites,6,IN
7,5,Benjamina,NA,NA,NA,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups,5,IN
7,5,Candice,NA,NA,NA,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups",2,STAR BAKER
7,5,Jane,NA,NA,NA,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones",1,IN
7,5,Rav,NA,NA,NA,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas,8,IN
7,5,Selasi,NA,NA,NA,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups",3,IN
7,5,Tom,NA,NA,NA,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,Yin and Yang Amuse-bouche,4,IN
7,5,Val,NA,NA,NA,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels",7,OUT
7,6,Andrew,NA,NA,NA,Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio,6,IN
7,6,Benjamina,NA,NA,NA,Grapefruit and Ginger Meringue Pie,Floral Tea Cake,2,IN
7,6,Candice,NA,NA,NA,"Lime, Coconut and Lemongrass Sugar Meringue Pie",Four Seasons Cake,5,IN
7,6,Jane,NA,NA,NA,Lime and Coconut Meringue Pie,Three Tier Orange Cake with a Floral Chocolate Collar,4,IN
7,6,Rav,NA,NA,NA,Mandarin Margarita Meringue Pie,Blossom Cake,3,OUT
7,6,Selasi,NA,NA,NA,"Grapefruit, Orange and Mint Meringue Pie",Three Tiered Ombré Floral Cake,7,IN
7,6,Tom,NA,NA,NA,Blood Orange Halloween Pumpkin Pie,Floral Tea Cake,1,STAR BAKER
7,7,Andrew,NA,NA,NA,Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes,1,STAR BAKER
7,7,Benjamina,NA,NA,NA,Piña Colada Roulade,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake,3,IN
7,7,Candice,NA,NA,NA,Crowd Pleaser Roulade,Blackberry and Raspberry Bubbles and After Dinner Mousse,2,IN
7,7,Jane,NA,NA,NA,Chocolate and Hazelnut Roulade,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses",4,IN
7,7,Selasi,NA,NA,NA,Summer Picnic Roulade,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes",6,IN
7,7,Tom,NA,NA,NA,Millionaire's Roulade,Hipster Picnic,5,OUT
7,8,Andrew,NA,NA,NA,Da Vinci Inspired Geared Pies,Jousting Knights Marchpane,2,IN
7,8,Benjamina,NA,NA,NA,Mexican Adventure,Tudor Garden,4,OUT
7,8,Candice,NA,NA,NA,Cheesy Cheeky Fish Pies,Peacock,1,STAR BAKER
7,8,Jane,NA,NA,NA,Tudor Rose Pies,Swans,5,IN
7,8,Selasi,NA,NA,NA,Bouquet of Flowers,Fruity Tudor Marchpane,3,IN
7,9,Andrew,NA,NA,NA,Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants,2,STAR BAKER
7,9,Candice,NA,NA,NA,"Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies,3,IN
7,9,Jane,NA,NA,NA,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies,1,IN
7,9,Selasi,NA,NA,NA,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies,4,OUT
7,10,Andrew,NA,NA,NA,Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic,1,Runner-up
7,10,Candice,NA,NA,NA,Queen Victoria's Mango and Strawberry Crown,Picnic for Pearly Kings and Queens,2,WINNER
7,10,Jane,NA,NA,NA,"Red, White and Blue Meringue Crown",Family Favourites Feast,3,Runner-up
8,1,Chris,NA,NA,NA,Tropical Fresh Fruit Cake,'Raised Pork Pie and Egg Surprise' Cake,12,IN
8,1,Flo,NA,NA,NA,Citrus Layer Cake,'One in a Melon' Cake,9,IN
8,1,James,NA,NA,NA,"Orange, Rhubarb & Ginger Crumble Cake",'Mock-accino and Croissant' Cake,2,IN
8,1,Julia,NA,NA,NA,Courgette and Lemon Cake,'Russian Doll' Cake,3,IN
8,1,Kate,NA,NA,NA,Moroccan Strawberry and Rose Cake,'Chocolate Terrarium' Cake,1,IN
8,1,Liam,NA,NA,NA,Apple and Almond Crumble Maple Loaf,'Stackin' Sunday' Cake,8,IN
8,1,Peter,NA,NA,NA,Coconut Cake,'Bread on a Breadboard' Cake,10,OUT
8,1,Sophie,NA,NA,NA,Pineapple and Coconut Sandwich Cake,'Champagne Bottle and Bucket' Cake,5,IN
8,1,Stacey,NA,NA,NA,Granny Smith Apple and Walnut Cake,'Black Evening Clutch Bag' Cake,11,IN
8,1,Steven,NA,NA,NA,Bonfire Night Cake,'A Baker's Lunch' Cake,6,STAR BAKER
8,1,Tom,NA,NA,NA,Gilded Pear and Cardamom Cake,'Stack of Books' Cake,7,IN
8,1,Yan,NA,NA,NA,Windfall Apple Crumble Cake,'Banana-ramen' Cake,4,IN
8,2,Chris,NA,NA,NA,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,'The Great British Sail Off' Game,11,OUT
8,2,Flo,NA,NA,NA,Gin Jam Butties,'Pick My Bones' Game,10,IN
8,2,James,NA,NA,NA,Rhubarb and Custard Whirls,'Coppit' Game,3,IN
8,2,Julia,NA,NA,NA,Middle Eastern Delight Sandwich Biscuits,'A British Baking' Game,4,IN
8,2,Kate,NA,NA,NA,Coconut Seashells for a Titanic Afternoon Tea,'Jungle' Game,8,IN
8,2,Liam,NA,NA,NA,Coffee Malted Pecan Shorties,'Classroom Classics' Game,7,IN
8,2,Sophie,NA,NA,NA,Lemon Limoncino Sandwich Biscuits,'Snakes and Ladders' Game,2,IN
8,2,Stacey,NA,NA,NA,Sparkly Chocolate and Marshmallow Fluff Cookies,'Get to School' Game,9,IN
8,2,Steven,NA,NA,NA,Amarpressi Biscuits,'Check Bake' Game,6,STAR BAKER
8,2,Tom,NA,NA,NA,Coffee and Amaretto Kisses,'Drain Pipes and Ladders' Game,5,IN
8,2,Yan,NA,NA,NA,'Mrs. Marian's PB 'n' B' Biscuits,'Adventures in Bakeland' Game,1,IN
8,3,Flo,NA,NA,NA,Cinnamon and Orange Teacakes,'Davy Jones' Locker' Bread Sculpture,7,OUT
8,3,James,NA,NA,NA,Nordic Teacakes,'Owl in the Woods' Bread Sculpture,9,IN
8,3,Julia,NA,NA,NA,Earl Grey Dried Fruit Teacakes,'The Snail Under a Mushroom' Bread Sculpture,2,STAR BAKER
8,3,Kate,NA,NA,NA,Blueberry Buns,'Kraken' Bread Sculpture,10,IN
8,3,Liam,NA,NA,NA,Jamaican Spiced Teacakes,'Kneadapolitan' Bread Sculpture,5,IN
8,3,Sophie,NA,NA,NA,Tagine Teacakes,'Picnic Basket' Bread Sculpture,6,IN
8,3,Stacey,NA,NA,NA,Cranberry and Cinnamon Teacakes,'Ascot Hat' Bread Sculpture,1,IN
8,3,Steven,NA,NA,NA,Madras Cocktail Teacakes,'The Bag I Knead' Bread Sculpture,3,IN
8,3,Tom,NA,NA,NA,Orange and Cranberry Teacakes,'Pink & Yellow Rose Centrepiece' Bread Sculpture,4,IN
8,3,Yan,NA,NA,NA,'Mrs P's' Masala Chai Spiced Teacakes,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture,8,IN
8,4,James,NA,NA,NA,'Windy City' Millionaire Shortbreads,Nutty Caramel Cake,2,IN
8,4,Julia,NA,NA,NA,Pecan Salted Caramel Millionaire Shortbreads,Poppy Seed Caramel Cake,9,IN
8,4,Kate,NA,NA,NA,Salted Bay Caramel Millionaire Shortbreads,Sticky Toffee Apple Caramel Cake,6,STAR BAKER
8,4,Liam,NA,NA,NA,Salted Peanut Butter Millionaire Shortbreads,White Layered Ginger Caramel Cake,3,IN
8,4,Sophie,NA,NA,NA,Jaffa Millionaire Shortbreads,Bird's Nest Caramel Cake,4,IN
8,4,Stacey,NA,NA,NA,Rum Salted Caramel Millionaire Shortbreads,Chocolate and Coffee Caramel Cake,1,IN
8,4,Steven,NA,NA,NA,Orange Macadamia Nut Millionaire Shortbreads,Caramel Crown Cake,7,IN
8,4,Tom,NA,NA,NA,Stem Ginger Caramel Shortbreads,Hummingbird Cake,5,OUT
8,4,Yan,NA,NA,NA,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,Animals of the Rainforest Caramel Cake,8,IN
8,5,James,NA,NA,NA,Orange and Ginger Steamed School Pudding,'The Missed Silver Jubilee' Trifle Terrine,7,OUT
8,5,Julia,NA,NA,NA,Orange & Treacle Steamed School Pudding,'Opulent Ornament' Trifle Terrine,3,IN
8,5,Kate,NA,NA,NA,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,'My Great Great Nan's' Raspberry Trifle Terrine,8,IN
8,5,Liam,NA,NA,NA,Cherries & Lemons that are 'Baked Well','Cheers Lads' Trifle Terrine,2,IN
8,5,Sophie,NA,NA,NA,"Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine",1,STAR BAKER
8,5,Stacey,NA,NA,NA,Bakewell Tart Steamed School Pudding,Tropical Trifle Terrine,4,IN
8,5,Steven,NA,NA,NA,Lemon & Blackcurrant Drizzle Steamed School Pudding,'From Across the Jelly Pond' Trifle Terrine,5,IN
8,5,Yan,NA,NA,NA,Mango Fruit Hat Steamed School Pudding,'Heart of a Hero' Trifle Terrine,6,IN
8,6,Julia,NA,NA,NA,'Pies from the Tree' Decorative Pies,'Special Occasion' Pie,7,OUT
8,6,Kate,NA,NA,NA,'Vegetarian Pie Faces' Decorative Pies,Potato Curry Pie with Mango & Chilli Glaze,5,IN
8,6,Liam,NA,NA,NA,'Standard FC' Decorative Pies,'Nan's Sunday Dinner' Pie,4,STAR BAKER
8,6,Sophie,NA,NA,NA,'The Four Seasons' Decorative Pies,Game Pie with Glazed Forest Fruits,2,IN
8,6,Stacey,NA,NA,NA,'Love Theme' Decorative Pies,Indian Hand Raised Pie with Mango,6,IN
8,6,Steven,NA,NA,NA,'Fleetwood Mac' Decorative Pies,Christmas Pie,3,IN
8,6,Yan,NA,NA,NA,'πr2' Decorative Pies,Chequerboard Pie,1,IN
8,7,Kate,NA,NA,NA,'Happy Hour' Cocktail Cannoli,'Flavour Fusion' Sfogliatelle,6,IN
8,7,Liam,NA,NA,NA,'Just Doing Me' Cannoli,'Morning Delivery' Sfogliatelle,2,IN
8,7,Sophie,NA,NA,NA,'Classics with a Twist' Cannoli,'Classics' Sfogliatelle,3,IN
8,7,Stacey,NA,NA,NA,My All Time Favourite Desserts,Pastry Surprise,4,IN
8,7,Steven,NA,NA,NA,Italian Style Cannoli,'Sicilian-style' Sfogliatelle,1,STAR BAKER
8,7,Yan,NA,NA,NA,Cannoli Cocktails,Canadian-Style Sfogliatelle,5,OUT
8,8,Kate,NA,NA,NA,Burrito Bedfordshire Clangers,'Liver Building Turret' Savoy Cake,2,IN
8,8,Liam,NA,NA,NA,'Take Out' Bedfordshire Clangers,'Fort Wizardore' Savoy Cake,5,OUT
8,8,Sophie,NA,NA,NA,Char Siu & Banana Praline Bedfordshire Clangers,Citrus with Green Apple Croquembouche Savoy Cake,4,IN
8,8,Stacey,NA,NA,NA,Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,'Bright' Lemon & Orange Savoy Cake,3,STAR BAKER
8,8,Steven,NA,NA,NA,'Mediterranean Medley' Bedfordshire Clangers,Chestnut Rum Savoy Cake,1,IN
8,9,Kate,NA,NA,NA,Bellini and Valencian Orange Choux Buns,'Rainbow' Meringue Centrepiece,4,IN
8,9,Sophie,NA,NA,NA,Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,'Tutu with Opera Filling' Meringue Centrepiece,1,STAR BAKER
8,9,Stacey,NA,NA,NA,'Choux-nicorn and Choux-moji' Choux Buns,'Flamingos in Love' Meringue Centrepiece,2,OUT
8,9,Steven,NA,NA,NA,Key Lime Cheesecake and Bakewell Tart Choux Buns,'Some Air Over the Rainbow' Meringue Centrepiece,3,IN
8,10,Kate,NA,NA,NA,"Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet",3,Runner-up
8,10,Sophie,NA,NA,NA,"Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",'Ode to the Honey Bee' Entremet,2,WINNER
8,10,Steven,NA,NA,NA,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",'Yin Yang' Entremet,1,Runner-up
